Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"2","'004","Afghanistan","23082","Total FDI inflows","6110","Value US$","million USD","0.000010","-0.280000","0.360000","-0.020000","0.020000","-0.093330","0.690000","-1.460000","-0.010000","6.040000","0.170000","0.680000","50.000000","57.800000","186.900000","271.000000","238.000000","188.690000","46.033740","197.512730","54.200550","57.620840","40.863940","48.311350","42.975260","169.146610","93.591320","51.533900","119.435110","23.404550","12.970150","20.600980",,
"2","'004","Afghanistan","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","0.000024","-0.652408","0.819359","-0.044542","0.043630","-0.199459","1.446954","-3.008326","-0.020375","12.535315","0.256759","0.945025","96.868505","105.224384","307.617288","413.593417","349.414855","255.166600","56.026818","241.359419","53.468704","51.811475","36.631861","45.516194","42.276718","169.146610","98.709020","52.955846","126.118787","26.639892","14.016988","23.259112",,
"2","'004","Afghanistan","23085","Total FDI outflows","6110","Value US$","million USD",,,,,,,,,,,,,,"1.000000","-0.700000","1.500000",,,"-1.918040","0.334960","-0.715030","1.177860","-9.039900","0.537320","-0.019150","2.163050","14.006050","11.260740","38.803700","26.321050","37.228480","30.790960",,
"2","'004","Afghanistan","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD",,,,,,,,,,,,,,"1.820491","-1.152125","2.289262",,,"-2.334411","0.409319","-0.705375","1.059107","-8.103682","0.506232","-0.018839","2.163050","14.771920","11.571451","40.975184","29.959556","40.233240","34.763899",,
"3","'008","Albania","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","million USD",,,,,,,,,,,,,,,"0.642888","0.494601","2.508966","2.737334","-79.100597","-13.186209","-0.613208","0.080628",,"-0.132811","-3.467379",,"-0.586660","5.795235","-0.059048","-0.436595","0.205595","0.260203","-0.136896","0.854202"
"3","'008","Albania","23080","FDI inflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","million USD",,,,,,,,,,,,,,,"0.683942","0.494923","2.406540","2.318459","-59.698190","-11.000513","-0.535745","0.066834",,"-0.113780","-2.919948",,"-0.581864","5.435573","-0.049488","-0.367595","0.169711","0.198181","-0.103631","0.550652"
"3","'008","Albania","23080","FDI inflows to Agriculture, Forestry and Fishing","61410","Share of Total FDI inflows US$, 2015 prices","%",,,,,,,,,,,,,,,"0.190478","0.188456","0.772201","0.416667","-8.120301","-1.363041","-0.058361","0.009201",,"-0.010583","-0.300286",,"-0.056238","0.570082","-0.004904","-0.036371","0.019217","0.021277","-0.009473","0.052932"
"3","'008","Albania","23082","Total FDI inflows","6110","Value US$","million USD",,,"20.000000","68.000000","52.970000","70.050000","90.090000","47.540000","45.010800","41.199880","144.270320","206.427680","133.056330","177.103810","337.512240","262.449487","324.911151","656.960081","974.109203","967.410949","1050.714858","876.271104","855.435093","1254.930606","1154.690314","987.850960","1043.180470","1016.561053","1204.105023","1200.401679","1069.861314","1222.941854","1445.182514","1613.760218"
"3","'008","Albania","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD",,,"47.390200","157.395863","120.043314","141.419422","145.720571","98.514929","88.389265","72.431007","250.569033","344.823113","209.462459","230.438252","359.065430","262.620092","311.646982","556.430175","735.172158","807.056580","917.982690","726.359191","752.473410","1075.108357","972.387456","987.850960","1034.653443","953.471561","1009.154247","1010.689544","883.127377","931.439357","1094.013042","1040.292855"
"3","'008","Albania","23085","Total FDI outflows","6110","Value US$","million USD",,,,,,,,,,,,,,,"13.658400","4.103860","10.387120","23.896920","81.136700","39.198830","6.381080","29.776670","23.035000","39.816720","33.358570","37.612338","64.200483","26.185880","82.548980","127.832830","87.515110","63.087380","181.050610","264.629560"
