T04,Region_Country_Area,country,subregion,continent,world
1,"Total, all countries or areas",,,,World
2,Africa,,,Africa,
4,Afghanistan,Afghanistan,Southern Asia,Asia,
5,South America,,South America,Latin America & the Caribbean,
8,Albania,Albania,Southern Europe,Europe,
9,Oceania,,,Oceania,
11,Western Africa,,Western Africa,Africa,
12,Algeria,Algeria,Northern Africa,Africa,
13,Central America,,Central America,Latin America & the Caribbean,
14,Eastern Africa,,Eastern Africa,Africa,
16,American Samoa,American Samoa,Polynesia,Oceania,
17,Middle Africa,,Middle Africa,Africa,
18,Southern Africa,,Southern Africa,Africa,
20,Andorra,Andorra,Southern Europe,Europe,
21,Northern America,,,Northern America,
24,Angola,Angola,Middle Africa,Africa,
28,Antigua and Barbuda,Antigua and Barbuda,Caribbean,Latin America & the Caribbean,
29,Caribbean,,Caribbean,Latin America & the Caribbean,
30,Eastern Asia,,Eastern Asia,Asia,
31,Azerbaijan,Azerbaijan,Western Asia,Asia,
32,Argentina,Argentina,South America,Latin America & the Caribbean,
34,Southern Asia,,Southern Asia,Asia,
35,South-eastern Asia,,South-eastern Asia,Asia,
36,Australia,Australia,Australia and New Zealand,Oceania,
39,Southern Europe,,Southern Europe,Europe,
40,Austria,Austria,Western Europe,Europe,
44,Bahamas (The),Bahamas (The),Caribbean,Latin America & the Caribbean,
48,Bahrain,Bahrain,Western Asia,Asia,
50,Bangladesh,Bangladesh,Southern Asia,Asia,
51,Armenia,Armenia,Western Asia,Asia,
52,Barbados,Barbados,Caribbean,Latin America & the Caribbean,
53,Australia and New Zealand,,Australia and New Zealand,Oceania,
54,Melanesia,,Melanesia,Oceania,
56,Belgium,Belgium,Western Europe,Europe,
57,Micronesia,,Micronesia,Oceania,
60,Bermuda,Bermuda,Northern America,Northern America,
61,Polynesia,,Polynesia,Oceania,
64,Bhutan,Bhutan,Southern Asia,Asia,
68,Bolivia (Plurin. State of),Bolivia (Plurin. State of),South America,Latin America & the Caribbean,
70,Bosnia and Herzegovina,Bosnia and Herzegovina,Southern Europe,Europe,
72,Botswana,Botswana,Southern Africa,Africa,
76,Brazil,Brazil,South America,Latin America & the Caribbean,
84,Belize,Belize,Central America,Latin America & the Caribbean,
90,Solomon Islands,Solomon Islands,Melanesia,Oceania,
92,British Virgin Islands,British Virgin Islands,Caribbean,Latin America & the Caribbean,
96,Brunei Darussalam,Brunei Darussalam,South-eastern Asia,Asia,
100,Bulgaria,Bulgaria,Eastern Europe,Europe,
104,Myanmar,Myanmar,South-eastern Asia,Asia,
108,Burundi,Burundi,Eastern Africa,Africa,
112,Belarus,Belarus,Eastern Europe,Europe,
116,Cambodia,Cambodia,South-eastern Asia,Asia,
120,Cameroon,Cameroon,Middle Africa,Africa,
124,Canada,Canada,Northern America,Northern America,
132,Cabo Verde,Cabo Verde,Western Africa,Africa,
136,Cayman Islands,Cayman Islands,Caribbean,Latin America & the Caribbean,
140,Central African Republic,Central African Republic,Middle Africa,Africa,
142,Asia,,,Asia,
143,Central Asia,,Central Asia,Asia,
144,Sri Lanka,Sri Lanka,Southern Asia,Asia,
145,Western Asia,,Western Asia,Asia,
148,Chad,Chad,Middle Africa,Africa,
150,Europe,,,Europe,
151,Eastern Europe,,Eastern Europe,Europe,
152,Chile,Chile,South America,Latin America & the Caribbean,
154,Northern Europe,,Northern Europe,Europe,
155,Western Europe,,Western Europe,Europe,
156,China,China,Eastern Asia,Asia,
158,Other non-specified areas,,,,
170,Colombia,Colombia,South America,Latin America & the Caribbean,
174,Comoros,Comoros,Eastern Africa,Africa,
175,Mayotte,Mayotte,Eastern Africa,Africa,
178,Congo,Congo,Middle Africa,Africa,
180,Dem. Rep. of the Congo,Dem. Rep. of the Congo,Middle Africa,Africa,
184,Cook Islands,Cook Islands,Polynesia,Oceania,
188,Costa Rica,Costa Rica,Central America,Latin America & the Caribbean,
191,Croatia,Croatia,Southern Europe,Europe,
192,Cuba,Cuba,Caribbean,Latin America & the Caribbean,
196,Cyprus,Cyprus,Western Asia,Asia,
199,LDC§,,,,
202,Sub-Saharan Africa,,,,
203,Czechia,Czechia,Eastern Europe,Europe,
204,Benin,Benin,Western Africa,Africa,
208,Denmark,Denmark,Northern Europe,Europe,
212,Dominica,Dominica,Caribbean,Latin America & the Caribbean,
214,Dominican Republic,Dominican Republic,Caribbean,Latin America & the Caribbean,
218,Ecuador,Ecuador,South America,Latin America & the Caribbean,
222,El Salvador,El Salvador,Central America,Latin America & the Caribbean,
226,Equatorial Guinea,Equatorial Guinea,Middle Africa,Africa,
231,Ethiopia,Ethiopia,Eastern Africa,Africa,
232,Eritrea,Eritrea,Eastern Africa,Africa,
233,Estonia,Estonia,Northern Europe,Europe,
234,Faroe Islands,Faroe Islands,Northern Europe,Europe,
238,Falkland Islands (Malvinas),Falkland Islands (Malvinas),South America,Latin America & the Caribbean,
242,Fiji,Fiji,Melanesia,Oceania,
246,Finland,Finland,Northern Europe,Europe,
250,France,France,Western Europe,Europe,
254,French Guiana,French Guiana,South America,Latin America & the Caribbean,
258,French Polynesia,French Polynesia,Polynesia,Oceania,
262,Djibouti,Djibouti,Eastern Africa,Africa,
266,Gabon,Gabon,Middle Africa,Africa,
268,Georgia,Georgia,Western Asia,Asia,
270,Gambia,Gambia,Western Africa,Africa,
275,State of Palestine,State of Palestine,Western Asia,Asia,
276,Germany,Germany,Western Europe,Europe,
288,Ghana,Ghana,Western Africa,Africa,
292,Gibraltar,Gibraltar,Southern Europe,Europe,
296,Kiribati,Kiribati,Micronesia,Oceania,
300,Greece,Greece,Southern Europe,Europe,
304,Greenland,Greenland,Northern America,Northern America,
308,Grenada,Grenada,Caribbean,Latin America & the Caribbean,
312,Guadeloupe,Guadeloupe,Caribbean,Latin America & the Caribbean,
316,Guam,Guam,Micronesia,Oceania,
320,Guatemala,Guatemala,Central America,Latin America & the Caribbean,
324,Guinea,Guinea,Western Africa,Africa,
328,Guyana,Guyana,South America,Latin America & the Caribbean,
332,Haiti,Haiti,Caribbean,Latin America & the Caribbean,
336,Holy See,Holy See,Southern Europe,Europe,
340,Honduras,Honduras,Central America,Latin America & the Caribbean,
344,"China, Hong Kong SAR","China, Hong Kong SAR",Eastern Asia,Asia,
348,Hungary,Hungary,Eastern Europe,Europe,
352,Iceland,Iceland,Northern Europe,Europe,
356,India,India,Southern Asia,Asia,
360,Indonesia,Indonesia,South-eastern Asia,Asia,
364,Iran (Islamic Republic of),Iran (Islamic Republic of),Southern Asia,Asia,
368,Iraq,Iraq,Western Asia,Asia,
372,Ireland,Ireland,Northern Europe,Europe,
376,Israel,Israel,Western Asia,Asia,
380,Italy,Italy,Southern Europe,Europe,
384,Côte dIvoire,Côte dIvoire,Western Africa,Africa,
388,Jamaica,Jamaica,Caribbean,Latin America & the Caribbean,
392,Japan,Japan,Eastern Asia,Asia,
398,Kazakhstan,Kazakhstan,Central Asia,Asia,
400,Jordan,Jordan,Western Asia,Asia,
404,Kenya,Kenya,Eastern Africa,Africa,
408,Dem. People's Rep. Korea,Dem. People's Rep. Korea,Eastern Asia,Asia,
410,Republic of Korea,Republic of Korea,Eastern Asia,Asia,
414,Kuwait,Kuwait,Western Asia,Asia,
417,Kyrgyzstan,Kyrgyzstan,Central Asia,Asia,
418,Lao People's Dem. Rep.,Lao People's Dem. Rep.,South-eastern Asia,Asia,
419,Latin America & the Caribbean,,,Latin America & the Caribbean,
420,Latin America,,Latin America,Latin America & the Caribbean,
422,Lebanon,Lebanon,Western Asia,Asia,
426,Lesotho,Lesotho,Southern Africa,Africa,
428,Latvia,Latvia,Northern Europe,Europe,
430,Liberia,Liberia,Western Africa,Africa,
434,Libya,Libya,Northern Africa,Africa,
438,Liechtenstein,Liechtenstein,Western Europe,Europe,
440,Lithuania,Lithuania,Northern Europe,Europe,
442,Luxembourg,Luxembourg,Western Europe,Europe,
446,"China, Macao SAR","China, Macao SAR",Eastern Asia,Asia,
450,Madagascar,Madagascar,Eastern Africa,Africa,
454,Malawi,Malawi,Eastern Africa,Africa,
458,Malaysia,Malaysia,South-eastern Asia,Asia,
462,Maldives,Maldives,Southern Asia,Asia,
466,Mali,Mali,Western Africa,Africa,
470,Malta,Malta,Southern Europe,Europe,
474,Martinique,Martinique,Caribbean,Latin America & the Caribbean,
478,Mauritania,Mauritania,Western Africa,Africa,
480,Mauritius,Mauritius,Eastern Africa,Africa,
484,Mexico,Mexico,Central America,Latin America & the Caribbean,
492,Monaco,Monaco,Western Europe,Europe,
496,Mongolia,Mongolia,Eastern Asia,Asia,
498,Republic of Moldova,Republic of Moldova,Eastern Europe,Europe,
499,Montenegro,Montenegro,Southern Europe,Europe,
500,Montserrat,Montserrat,Caribbean,Latin America & the Caribbean,
504,Morocco,Morocco,Northern Africa,Africa,
508,Mozambique,Mozambique,Eastern Africa,Africa,
512,Oman,Oman,Western Asia,Asia,
516,Namibia,Namibia,Southern Africa,Africa,
520,Nauru,Nauru,Micronesia,Oceania,
524,Nepal,Nepal,Southern Asia,Asia,
528,Netherlands (Kingdom of the),Netherlands (Kingdom of the),Western Europe,Europe,
531,Curaçao,Curaçao,Caribbean,Latin America & the Caribbean,
533,Aruba,Aruba,Caribbean,Latin America & the Caribbean,
534,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Caribbean,Latin America & the Caribbean,
535,"Bonaire, St. Eustatius & Saba","Bonaire, St. Eustatius & Saba",Caribbean,Latin America & the Caribbean,
540,New Caledonia,New Caledonia,Melanesia,Oceania,
548,Vanuatu,Vanuatu,Melanesia,Oceania,
554,New Zealand,New Zealand,Australia and New Zealand,Oceania,
558,Nicaragua,Nicaragua,Central America,Latin America & the Caribbean,
562,Niger,Niger,Western Africa,Africa,
566,Nigeria,Nigeria,Western Africa,Africa,
570,Niue,Niue,Polynesia,Oceania,
578,Norway,Norway,Northern Europe,Europe,
580,Northern Mariana Islands,Northern Mariana Islands,Micronesia,Oceania,
583,Micronesia (Fed. States of),Micronesia (Fed. States of),Micronesia,Oceania,
584,Marshall Islands,Marshall Islands,Micronesia,Oceania,
585,Palau,Palau,Micronesia,Oceania,
586,Pakistan,Pakistan,Southern Asia,Asia,
591,Panama,Panama,Central America,Latin America & the Caribbean,
598,Papua New Guinea,Papua New Guinea,Melanesia,Oceania,
600,Paraguay,Paraguay,South America,Latin America & the Caribbean,
604,Peru,Peru,South America,Latin America & the Caribbean,
608,Philippines,Philippines,South-eastern Asia,Asia,
616,Poland,Poland,Eastern Europe,Europe,
620,Portugal,Portugal,Southern Europe,Europe,
624,Guinea-Bissau,Guinea-Bissau,Western Africa,Africa,
626,Timor-Leste,Timor-Leste,South-eastern Asia,Asia,
630,Puerto Rico,Puerto Rico,Caribbean,Latin America & the Caribbean,
634,Qatar,Qatar,Western Asia,Asia,
638,Réunion,Réunion,Eastern Africa,Africa,
642,Romania,Romania,Eastern Europe,Europe,
643,Russian Federation,Russian Federation,Eastern Europe,Europe,
646,Rwanda,Rwanda,Eastern Africa,Africa,
654,Saint Helena,Saint Helena,Caribbean,Latin America & the Caribbean,
659,Saint Kitts and Nevis,Saint Kitts and Nevis,Caribbean,Latin America & the Caribbean,
660,Anguilla,Anguilla,Caribbean,Latin America & the Caribbean,
662,Saint Lucia,Saint Lucia,Caribbean,Latin America & the Caribbean,
666,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Northern America,Northern America,
670,Saint Vincent & Grenadines,Saint Vincent & Grenadines,Caribbean,Latin America & the Caribbean,
674,San Marino,San Marino,Southern Europe,Europe,
678,Sao Tome and Principe,Sao Tome and Principe,Middle Africa,Africa,
682,Saudi Arabia,Saudi Arabia,Western Asia,Asia,
686,Senegal,Senegal,Western Africa,Africa,
688,Serbia,Serbia,Southern Europe,Europe,
690,Seychelles,Seychelles,Eastern Africa,Africa,
694,Sierra Leone,Sierra Leone,Western Africa,Africa,
702,Singapore,Singapore,South-eastern Asia,Asia,
703,Slovakia,Slovakia,Eastern Europe,Europe,
704,Viet Nam,Viet Nam,South-eastern Asia,Asia,
705,Slovenia,Slovenia,Southern Europe,Europe,
706,Somalia,Somalia,Eastern Africa,Africa,
710,South Africa,South Africa,Southern Africa,Africa,
716,Zimbabwe,Zimbabwe,Eastern Africa,Africa,
724,Spain,Spain,Southern Europe,Europe,
728,South Sudan,South Sudan,Eastern Africa,Africa,
729,Sudan,Sudan,Northern Africa,Africa,
732,Western Sahara,Western Sahara,Northern Africa,Africa,
740,Suriname,Suriname,South America,Latin America & the Caribbean,
748,Eswatini,Eswatini,Southern Africa,Africa,
752,Sweden,Sweden,Northern Europe,Europe,
756,Switzerland,Switzerland,Western Europe,Europe,
760,Syrian Arab Republic,Syrian Arab Republic,Western Asia,Asia,
762,Tajikistan,Tajikistan,Central Asia,Asia,
764,Thailand,Thailand,South-eastern Asia,Asia,
768,Togo,Togo,Western Africa,Africa,
772,Tokelau,Tokelau,Polynesia,Oceania,
776,Tonga,Tonga,Polynesia,Oceania,
780,Trinidad and Tobago,Trinidad and Tobago,Caribbean,Latin America & the Caribbean,
784,United Arab Emirates,United Arab Emirates,Western Asia,Asia,
788,Tunisia,Tunisia,Northern Africa,Africa,
792,Türkiye,Türkiye,Western Asia,Asia,
795,Turkmenistan,Turkmenistan,Central Asia,Asia,
796,Turks and Caicos Islands,Turks and Caicos Islands,Caribbean,Latin America & the Caribbean,
798,Tuvalu,Tuvalu,Polynesia,Oceania,
800,Uganda,Uganda,Eastern Africa,Africa,
804,Ukraine,Ukraine,Eastern Europe,Europe,
807,North Macedonia,North Macedonia,Southern Europe,Europe,
818,Egypt,Egypt,Northern Africa,Africa,
826,United Kingdom,United Kingdom,Northern Europe,Europe,
830,Channel Islands,Channel Islands,Northern Europe,Europe,
833,Isle of Man,Isle of Man,Northern Europe,Europe,
834,United Rep. of Tanzania,United Rep. of Tanzania,Eastern Africa,Africa,
840,United States of America,United States of America,Northern America,Northern America,
850,United States Virgin Islands,United States Virgin Islands,Caribbean,Latin America & the Caribbean,
854,Burkina Faso,Burkina Faso,Western Africa,Africa,
858,Uruguay,Uruguay,South America,Latin America & the Caribbean,
860,Uzbekistan,Uzbekistan,Central Asia,Asia,
862,Venezuela (Boliv. Rep. of),Venezuela (Boliv. Rep. of),South America,Latin America & the Caribbean,
876,Wallis and Futuna Islands,Wallis and Futuna Islands,Polynesia,Oceania,
882,Samoa,Samoa,Polynesia,Oceania,
887,Yemen,Yemen,Western Asia,Asia,
894,Zambia,Zambia,Eastern Africa,Africa,
