T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),"192,788,721",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),"221,020,392",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),"250,042,020",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),"15,097,633",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)","2,343,919",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),"40,518,150",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),"57,959,702",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2024,International migrant stock: Both sexes (number),"304,021,813",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2024,International migrant stock: Both sexes (% total population),3.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2024,International migrant stock: Male (% total Population),3.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2024,International migrant stock: Female (% total Population),3.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
1,"Total, all countries or areas",2024,Total refugees and people in refugee-like situations (number),"31,956,584",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2024,"Asylum seekers, including pending cases (number)","7,996,077",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2024,Other of concern to UNHCR (number),"81,380,476",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
1,"Total, all countries or areas",2024,Total population of concern to UNHCR (number),"119,900,487",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2005,International migrant stock: Both sexes (number),"16,602,802",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2005,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2005,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2010,International migrant stock: Both sexes (number),"17,752,216",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2010,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2010,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2010,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2015,International migrant stock: Both sexes (number),"22,683,929",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2015,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2015,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2015,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2015,Total refugees and people in refugee-like situations (number),"4,493,139",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2015,"Asylum seekers, including pending cases (number)","1,044,031",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2015,Other of concern to UNHCR (number),"11,530,138",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2015,Total population of concern to UNHCR (number),"17,067,308",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2024,International migrant stock: Both sexes (number),"29,180,440",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2024,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2024,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2024,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
2,Africa,2024,Total refugees and people in refugee-like situations (number),"8,776,888",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2024,"Asylum seekers, including pending cases (number)","1,387,923",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2024,Other of concern to UNHCR (number),"36,923,643",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
2,Africa,2024,Total population of concern to UNHCR (number),"47,088,449",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),"14,849,146",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),"15,787,016",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),"20,399,360",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2024,International migrant stock: Both sexes (number),"24,306,400",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2024,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2024,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
202,Sub-Saharan Africa,2024,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2005,International migrant stock: Both sexes (number),"5,141,624",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2005,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2005,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2010,International migrant stock: Both sexes (number),"4,424,112",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2010,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2010,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2015,International migrant stock: Both sexes (number),"6,304,660",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2015,International migrant stock: Male (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2015,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2024,International migrant stock: Both sexes (number),"8,302,733",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2024,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2024,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
14,Eastern Africa,2024,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2005,International migrant stock: Both sexes (number),"1,961,951",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2005,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2005,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2005,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2010,International migrant stock: Both sexes (number),"2,436,802",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2010,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2010,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2010,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Both sexes (number),"3,479,911",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2024,International migrant stock: Both sexes (number),"4,854,994",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
